date,pcr
2018-10-17,0.9197
2018-10-19,0.8767
2018-10-22,0.8985
2018-10-23,0.8658
2018-10-24,0.9078
2018-10-25,1.2805
2018-10-26,1.0263
2018-10-29,1.2729
2018-10-30,1.1036
2018-10-31,1.2694
2018-11-01,1.2441
2018-11-02,1.32
2018-11-05,1.2688
2018-11-06,1.178
2018-11-07,1.213
2018-11-09,1.2307
2018-11-12,1.0713
2018-11-13,1.1956
2018-11-14,1.1961
2018-11-15,1.2364
2018-11-16,1.2342
2018-11-19,1.2959
2018-11-20,1.1446
2018-11-21,1.1633
2018-11-22,1.0663
2018-11-26,1.2422
2018-11-27,1.2973
2018-11-28,1.2893
2018-11-29,1.4287
2018-11-30,1.2884
2018-12-03,1.1854
2018-12-04,1.1297
2018-12-05,0.9924
2018-12-06,1.0661
2018-12-07,1.1463
2018-12-10,1.0145
2018-12-11,1.0713
2018-12-12,1.2242
2018-12-13,1.1663
2018-12-14,1.1571
2018-12-17,1.2372
2018-12-18,1.267
2018-12-19,1.2662
2018-12-20,1.2107
2018-12-21,0.9584
2018-12-24,0.9339
2018-12-26,1.1003
2018-12-27,1.2056
2018-12-28,1.2354
2018-12-31,1.1751
2019-01-01,1.2268
2019-01-02,1.0235
2019-01-03,1.0138
2019-01-04,1.098
2019-01-07,1.0988
2019-01-08,1.178
2019-01-09,1.2107
2019-01-10,1.0948
2019-01-11,1.0117
2019-01-14,0.9633
2019-01-15,1.0802
2019-01-16,1.0771
2019-01-17,1.1118
2019-01-18,1.1148
2019-01-21,1.1409
2019-01-22,1.0931
2019-01-23,0.9725
2019-01-24,1.0489
2019-01-25,0.9913
2019-01-28,0.8856
2019-01-29,0.8852
2019-01-30,0.9396
2019-01-31,1.4315
2019-02-01,1.1352
2019-02-04,1.2111
2019-02-05,1.1986
2019-02-06,1.273
2019-02-07,1.2991
2019-02-08,1.1618
2019-02-11,1.1176
2019-02-12,0.9905
2019-02-13,0.9203
2019-02-14,1.0761
2019-02-15,1.0188
2019-02-18,0.9202
2019-02-19,0.922
2019-02-20,1.0801
2019-02-21,1.1109
2019-02-22,1.0655
2019-02-25,1.1666
2019-02-26,1.1165
2019-02-27,1.0925
2019-02-28,1.4645
2019-03-01,1.4365
2019-03-05,1.5526
2019-03-06,1.4603
2019-03-07,1.2419
2019-03-08,1.2459
2019-03-11,1.3371
2019-03-12,1.44
2019-03-13,1.4468
2019-03-14,1.2848
2019-03-15,1.356
2019-03-18,1.2697
2019-03-19,1.3084
2019-03-20,1.2494
2019-03-22,1.1201
2019-03-25,1.0624
2019-03-26,1.2276
2019-03-27,1.1519
